"Name","ID","DisplayName","Group","Enabled","Profile","Platform","Direction","Action","EdgeTraversalPolicy","LSM","PrimaryStatus","Status","EnforcementStatus","PolicyStoreSourceType","Caption","Description","ElementName","InstanceID","CommonName","PolicyKeywords","PolicyDecisionStrategy","PolicyRoles","ConditionListType","CreationClassName","ExecutionStrategy","Mandatory","PolicyRuleName","Priority","RuleUsage","SequencedActions","SystemCreationClassName","SystemName","DisplayGroup","LocalOnlyMapping","LooseSourceMapping","Owner","Platforms","PolicyStoreSource","Profiles","RuleGroup","StatusCode","PSComputerName"
"EventForwarder-In-TCP","EventForwarder-In-TCP","Remote Event Monitor (RPC)","@FirewallAPI.dll,-36801","False","Any","System.String[]","Inbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Inbound rule for remote event monitoring via RPC/TCP.","@FirewallAPI.dll,-36802","EventForwarder-In-TCP",,,"2",,"3","MSFT|FW|FirewallRule|EventForwarder-In-TCP","2",,"",,,"3","","","Remote Event Monitor","False","False",,"System.String[]","PersistentStore","0","@FirewallAPI.dll,-36801","65536",
"EventForwarder-RPCSS-In-TCP","EventForwarder-RPCSS-In-TCP","Remote Event Monitor (RPC-EPMAP)","@FirewallAPI.dll,-36801","False","Any","System.String[]","Inbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Inbound rule for the RPCSS service to allow RPC/TCP traffic for remote event monitoring.","@FirewallAPI.dll,-36804","EventForwarder-RPCSS-In-TCP",,,"2",,"3","MSFT|FW|FirewallRule|EventForwarder-RPCSS-In-TCP","2",,"",,,"3","","","Remote Event Monitor","False","False",,"System.String[]","PersistentStore","0","@FirewallAPI.dll,-36801","65536",
"NETDIS-UPnPHost-In-TCP","NETDIS-UPnPHost-In-TCP","Network Discovery (UPnP-In)","@FirewallAPI.dll,-32752","False","Any","System.String[]","Inbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Inbound rule for Network Discovery to allow use of Universal Plug and Play. [TCP 2869]","@FirewallAPI.dll,-32761","NETDIS-UPnPHost-In-TCP",,,"2",,"3","MSFT|FW|FirewallRule|NETDIS-UPnPHost-In-TCP","2",,"",,,"3","","","Network Discovery","False","False",,"System.String[]","PersistentStore","0","@FirewallAPI.dll,-32752","65536",
"NETDIS-UPnPHost-Out-TCP","NETDIS-UPnPHost-Out-TCP","Network Discovery (UPnP-Out)","@FirewallAPI.dll,-32752","False","Any","System.String[]","Outbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Outbound rule for Network Discovery to allow use of Universal Plug and Play. [TCP]","@FirewallAPI.dll,-32765","NETDIS-UPnPHost-Out-TCP",,,"2",,"3","MSFT|FW|FirewallRule|NETDIS-UPnPHost-Out-TCP","2",,"",,,"3","","","Network Discovery","False","False",,"System.String[]","PersistentStore","0","@FirewallAPI.dll,-32752","65536",
"NETDIS-NB_Name-In-UDP","NETDIS-NB_Name-In-UDP","Network Discovery (NB-Name-In)","@FirewallAPI.dll,-32752","False","Any","System.String[]","Inbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Inbound rule for Network Discovery to allow NetBIOS Name Resolution. [UDP 137]","@FirewallAPI.dll,-32769","NETDIS-NB_Name-In-UDP",,,"2",,"3","MSFT|FW|FirewallRule|NETDIS-NB_Name-In-UDP","2",,"",,,"3","","","Network Discovery","False","False",,"System.String[]","PersistentStore","0","@FirewallAPI.dll,-32752","65536",
"NETDIS-NB_Name-Out-UDP","NETDIS-NB_Name-Out-UDP","Network Discovery (NB-Name-Out)","@FirewallAPI.dll,-32752","False","Any","System.String[]","Outbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Outbound rule for Network Discovery to allow NetBIOS Name Resolution. [UDP 137]","@FirewallAPI.dll,-32773","NETDIS-NB_Name-Out-UDP",,,"2",,"3","MSFT|FW|FirewallRule|NETDIS-NB_Name-Out-UDP","2",,"",,,"3","","","Network Discovery","False","False",,"System.String[]","PersistentStore","0","@FirewallAPI.dll,-32752","65536",
"NETDIS-NB_Datagram-In-UDP","NETDIS-NB_Datagram-In-UDP","Network Discovery (NB-Datagram-In)","@FirewallAPI.dll,-32752","False","Any","System.String[]","Inbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Inbound rule for Network Discovery to allow NetBIOS Datagram transmission and reception. [UDP 138]","@FirewallAPI.dll,-32777","NETDIS-NB_Datagram-In-UDP",,,"2",,"3","MSFT|FW|FirewallRule|NETDIS-NB_Datagram-In-UDP","2",,"",,,"3","","","Network Discovery","False","False",,"System.String[]","PersistentStore","0","@FirewallAPI.dll,-32752","65536",
"NETDIS-NB_Datagram-Out-UDP","NETDIS-NB_Datagram-Out-UDP","Network Discovery (NB-Datagram-Out)","@FirewallAPI.dll,-32752","False","Any","System.String[]","Outbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Outbound rule for Network Discovery to allow NetBIOS Datagram transmission and reception. [UDP 138]","@FirewallAPI.dll,-32781","NETDIS-NB_Datagram-Out-UDP",,,"2",,"3","MSFT|FW|FirewallRule|NETDIS-NB_Datagram-Out-UDP","2",,"",,,"3","","","Network Discovery","False","False",,"System.String[]","PersistentStore","0","@FirewallAPI.dll,-32752","65536",
"NETDIS-WSDEVNTS-In-TCP","NETDIS-WSDEVNTS-In-TCP","Network Discovery (WSD EventsSecure-In)","@FirewallAPI.dll,-32752","False","Any","System.String[]","Inbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Inbound rule for Network Discovery to allow Secure WSDAPI Events via Function Discovery. [TCP 5358]","@FirewallAPI.dll,-32813","NETDIS-WSDEVNTS-In-TCP",,,"2",,"3","MSFT|FW|FirewallRule|NETDIS-WSDEVNTS-In-TCP","2",,"",,,"3","","","Network Discovery","False","False",,"System.String[]","PersistentStore","0","@FirewallAPI.dll,-32752","65536",
"NETDIS-WSDEVNTS-Out-TCP","NETDIS-WSDEVNTS-Out-TCP","Network Discovery (WSD EventsSecure-Out)","@FirewallAPI.dll,-32752","False","Any","System.String[]","Outbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Outbound rule for Network Discovery to allow Secure WSDAPI Events via Function Discovery. [TCP 5358]","@FirewallAPI.dll,-32815","NETDIS-WSDEVNTS-Out-TCP",,,"2",,"3","MSFT|FW|FirewallRule|NETDIS-WSDEVNTS-Out-TCP","2",,"",,,"3","","","Network Discovery","False","False",,"System.String[]","PersistentStore","0","@FirewallAPI.dll,-32752","65536",
"NETDIS-WSDEVNT-In-TCP","NETDIS-WSDEVNT-In-TCP","Network Discovery (WSD Events-In)","@FirewallAPI.dll,-32752","False","Any","System.String[]","Inbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Inbound rule for Network Discovery to allow WSDAPI Events via Function Discovery. [TCP 5357]","@FirewallAPI.dll,-32817","NETDIS-WSDEVNT-In-TCP",,,"2",,"3","MSFT|FW|FirewallRule|NETDIS-WSDEVNT-In-TCP","2",,"",,,"3","","","Network Discovery","False","False",,"System.String[]","PersistentStore","0","@FirewallAPI.dll,-32752","65536",
"NETDIS-WSDEVNT-Out-TCP","NETDIS-WSDEVNT-Out-TCP","Network Discovery (WSD Events-Out)","@FirewallAPI.dll,-32752","False","Any","System.String[]","Outbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Outbound rule for Network Discovery to allow WSDAPI Events via Function Discovery. [TCP 5357]","@FirewallAPI.dll,-32819","NETDIS-WSDEVNT-Out-TCP",,,"2",,"3","MSFT|FW|FirewallRule|NETDIS-WSDEVNT-Out-TCP","2",,"",,,"3","","","Network Discovery","False","False",,"System.String[]","PersistentStore","0","@FirewallAPI.dll,-32752","65536",
"NETDIS-SSDPSrv-In-UDP","NETDIS-SSDPSrv-In-UDP","Network Discovery (SSDP-In)","@FirewallAPI.dll,-32752","False","Any","System.String[]","Inbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Inbound rule for Network Discovery to allow use of the Simple Service Discovery Protocol. [UDP 1900]","@FirewallAPI.dll,-32753","NETDIS-SSDPSrv-In-UDP",,,"2",,"3","MSFT|FW|FirewallRule|NETDIS-SSDPSrv-In-UDP","2",,"",,,"3","","","Network Discovery","False","False",,"System.String[]","PersistentStore","0","@FirewallAPI.dll,-32752","65536",
"NETDIS-SSDPSrv-Out-UDP","NETDIS-SSDPSrv-Out-UDP","Network Discovery (SSDP-Out)","@FirewallAPI.dll,-32752","False","Any","System.String[]","Outbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Outbound rule for Network Discovery to allow use of the Simple Service Discovery Protocol. [UDP 1900]","@FirewallAPI.dll,-32757","NETDIS-SSDPSrv-Out-UDP",,,"2",,"3","MSFT|FW|FirewallRule|NETDIS-SSDPSrv-Out-UDP","2",,"",,,"3","","","Network Discovery","False","False",,"System.String[]","PersistentStore","0","@FirewallAPI.dll,-32752","65536",
"NETDIS-UPnP-Out-TCP","NETDIS-UPnP-Out-TCP","Network Discovery (UPnPHost-Out)","@FirewallAPI.dll,-32752","False","Any","System.String[]","Outbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Outbound rule for Network Discovery to allow use of Universal Plug and Play. [TCP]","@FirewallAPI.dll,-32821","NETDIS-UPnP-Out-TCP",,,"2",,"3","MSFT|FW|FirewallRule|NETDIS-UPnP-Out-TCP","2",,"",,,"3","","","Network Discovery","False","False",,"System.String[]","PersistentStore","0","@FirewallAPI.dll,-32752","65536",
"NETDIS-FDPHOST-In-UDP","NETDIS-FDPHOST-In-UDP","Network Discovery (WSD-In)","@FirewallAPI.dll,-32752","False","Any","System.String[]","Inbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Inbound rule for Network Discovery to discover devices via Function Discovery. [UDP 3702]","@FirewallAPI.dll,-32785","NETDIS-FDPHOST-In-UDP",,,"2",,"3","MSFT|FW|FirewallRule|NETDIS-FDPHOST-In-UDP","2",,"",,,"3","","","Network Discovery","False","False",,"System.String[]","PersistentStore","0","@FirewallAPI.dll,-32752","65536",
"NETDIS-FDPHOST-Out-UDP","NETDIS-FDPHOST-Out-UDP","Network Discovery (WSD-Out)","@FirewallAPI.dll,-32752","False","Any","System.String[]","Outbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Outbound rule for Network Discovery to discover devices via Function Discovery. [UDP 3702]","@FirewallAPI.dll,-32789","NETDIS-FDPHOST-Out-UDP",,,"2",,"3","MSFT|FW|FirewallRule|NETDIS-FDPHOST-Out-UDP","2",,"",,,"3","","","Network Discovery","False","False",,"System.String[]","PersistentStore","0","@FirewallAPI.dll,-32752","65536",
"NETDIS-LLMNR-In-UDP","NETDIS-LLMNR-In-UDP","Network Discovery (LLMNR-UDP-In)","@FirewallAPI.dll,-32752","False","Any","System.String[]","Inbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Inbound rule for Network Discovery to allow Link Local Multicast Name Resolution. [UDP 5355]","@FirewallAPI.dll,-32801","NETDIS-LLMNR-In-UDP",,,"2",,"3","MSFT|FW|FirewallRule|NETDIS-LLMNR-In-UDP","2",,"",,,"3","","","Network Discovery","False","False",,"System.String[]","PersistentStore","0","@FirewallAPI.dll,-32752","65536",
"NETDIS-LLMNR-Out-UDP","NETDIS-LLMNR-Out-UDP","Network Discovery (LLMNR-UDP-Out)","@FirewallAPI.dll,-32752","False","Any","System.String[]","Outbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Outbound rule for Network Discovery to allow Link Local Multicast Name Resolution. [UDP 5355]","@FirewallAPI.dll,-32805","NETDIS-LLMNR-Out-UDP",,,"2",,"3","MSFT|FW|FirewallRule|NETDIS-LLMNR-Out-UDP","2",,"",,,"3","","","Network Discovery","False","False",,"System.String[]","PersistentStore","0","@FirewallAPI.dll,-32752","65536",
"NETDIS-FDRESPUB-WSD-In-UDP","NETDIS-FDRESPUB-WSD-In-UDP","Network Discovery (Pub-WSD-In)","@FirewallAPI.dll,-32752","False","Any","System.String[]","Inbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Inbound rule for Network Discovery to discover devices via Function Discovery. [UDP 3702]","@FirewallAPI.dll,-32809","NETDIS-FDRESPUB-WSD-In-UDP",,,"2",,"3","MSFT|FW|FirewallRule|NETDIS-FDRESPUB-WSD-In-UDP","2",,"",,,"3","","","Network Discovery","False","False",,"System.String[]","PersistentStore","0","@FirewallAPI.dll,-32752","65536",
"NETDIS-FDRESPUB-WSD-Out-UDP","NETDIS-FDRESPUB-WSD-Out-UDP","Network Discovery (Pub WSD-Out)","@FirewallAPI.dll,-32752","False","Any","System.String[]","Outbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Outbound rule for Network Discovery to discover devices via Function Discovery. [UDP 3702]","@FirewallAPI.dll,-32811","NETDIS-FDRESPUB-WSD-Out-UDP",,,"2",,"3","MSFT|FW|FirewallRule|NETDIS-FDRESPUB-WSD-Out-UDP","2",,"",,,"3","","","Network Discovery","False","False",,"System.String[]","PersistentStore","0","@FirewallAPI.dll,-32752","65536",
"AllJoyn-Router-In-TCP","AllJoyn-Router-In-TCP","AllJoyn Router (TCP-In)","@FirewallAPI.dll,-37002","True","Domain, Private","System.String[]","Inbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Inbound rule for AllJoyn Router traffic [TCP]","@FirewallAPI.dll,-37003","AllJoyn-Router-In-TCP",,,"2",,"3","MSFT|FW|FirewallRule|AllJoyn-Router-In-TCP","2",,"",,,"3","","","AllJoyn Router","False","False",,"System.String[]","PersistentStore","3","@FirewallAPI.dll,-37002","65536",
"AllJoyn-Router-Out-TCP","AllJoyn-Router-Out-TCP","AllJoyn Router (TCP-Out)","@FirewallAPI.dll,-37002","True","Domain, Private","System.String[]","Outbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Outbound rule for AllJoyn Router traffic [TCP]","@FirewallAPI.dll,-37005","AllJoyn-Router-Out-TCP",,,"2",,"3","MSFT|FW|FirewallRule|AllJoyn-Router-Out-TCP","2",,"",,,"3","","","AllJoyn Router","False","False",,"System.String[]","PersistentStore","3","@FirewallAPI.dll,-37002","65536",
"AllJoyn-Router-In-UDP","AllJoyn-Router-In-UDP","AllJoyn Router (UDP-In)","@FirewallAPI.dll,-37002","True","Domain, Private","System.String[]","Inbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Inbound rule for AllJoyn Router traffic [UDP]","@FirewallAPI.dll,-37007","AllJoyn-Router-In-UDP",,,"2",,"3","MSFT|FW|FirewallRule|AllJoyn-Router-In-UDP","2",,"",,,"3","","","AllJoyn Router","False","False",,"System.String[]","PersistentStore","3","@FirewallAPI.dll,-37002","65536",
"AllJoyn-Router-Out-UDP","AllJoyn-Router-Out-UDP","AllJoyn Router (UDP-Out)","@FirewallAPI.dll,-37002","True","Domain, Private","System.String[]","Outbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Outbound rule for AllJoyn Router traffic [UDP]","@FirewallAPI.dll,-37009","AllJoyn-Router-Out-UDP",,,"2",,"3","MSFT|FW|FirewallRule|AllJoyn-Router-Out-UDP","2",,"",,,"3","","","AllJoyn Router","False","False",,"System.String[]","PersistentStore","3","@FirewallAPI.dll,-37002","65536",
"Netlogon-NamedPipe-In","Netlogon-NamedPipe-In","Netlogon Service (NP-In)","@netlogon.dll,-1010","False","Any","System.String[]","Inbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Inbound rule for the NetLogon service to be remotely managed over Named Pipes.","@netlogon.dll,-1003","Netlogon-NamedPipe-In",,,"2",,"3","MSFT|FW|FirewallRule|Netlogon-NamedPipe-In","2",,"",,,"3","","","Netlogon Service","False","False",,"System.String[]","PersistentStore","0","@netlogon.dll,-1010","65536",
"Netlogon-TCP-RPC-In","Netlogon-TCP-RPC-In","Netlogon Service Authz (RPC)","@netlogon.dll,-1010","False","Any","System.String[]","Inbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Inbound rule for the NetLogon service to process remote authz requests via RPC/TCP.","@netlogon.dll,-1008","Netlogon-TCP-RPC-In",,,"2",,"3","MSFT|FW|FirewallRule|Netlogon-TCP-RPC-In","2",,"",,,"3","","","Netlogon Service","False","False",,"System.String[]","PersistentStore","0","@netlogon.dll,-1010","65536",
"Wininit-Shutdown-In-Rule-TCP-RPC","Wininit-Shutdown-In-Rule-TCP-RPC","Inbound Rule for Remote Shutdown (TCP-In)","@firewallapi.dll,-36751","False","Any","System.String[]","Inbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Inbound rule for the Remote Shutdown via dynamic RPC/TCP.","@firewallapi.dll,-36753","Wininit-Shutdown-In-Rule-TCP-RPC",,,"2",,"3","MSFT|FW|FirewallRule|Wininit-Shutdown-In-Rule-TCP-RPC","2",,"",,,"3","","","Remote Shutdown","False","False",,"System.String[]","PersistentStore","0","@firewallapi.dll,-36751","65536",
"Wininit-Shutdown-In-Rule-TCP-RPC-EPMapper","Wininit-Shutdown-In-Rule-TCP-RPC-EPMapper","Inbound Rule for Remote Shutdown (RPC-EP-In)","@firewallapi.dll,-36751","False","Any","System.String[]","Inbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Inbound rule for the RPCSS service to allow RPC/TCP traffic","@firewallapi.dll,-36755","Wininit-Shutdown-In-Rule-TCP-RPC-EPMapper",,,"2",,"3","MSFT|FW|FirewallRule|Wininit-Shutdown-In-Rule-TCP-RPC-EPMapper","2",,"",,,"3","","","Remote Shutdown","False","False",,"System.String[]","PersistentStore","0","@firewallapi.dll,-36751","65536",
"SSTP-IN-TCP","SSTP-IN-TCP","Secure Socket Tunneling Protocol (SSTP-In)","@sstpsvc.dll,-35001","False","Any","System.String[]","Inbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Inbound rule to allow HTTPS traffic for Secure Socket Tunneling Protocol. [TCP 443]","@sstpsvc.dll,-35002","SSTP-IN-TCP",,,"2",,"3","MSFT|FW|FirewallRule|SSTP-IN-TCP","2",,"",,,"3","","","Secure Socket Tunneling Protocol","False","False",,"System.String[]","PersistentStore","0","@sstpsvc.dll,-35001","65536",
"FPSSMBD-iWARP-In-TCP","FPSSMBD-iWARP-In-TCP","File and Printer Sharing over SMBDirect (iWARP-In)","@FirewallAPI.dll,-28602","False","Any","System.String[]","Inbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Inbound rule for File and Printer Sharing over SMBDirect to allow iWARP [TCP 5445]","@FirewallAPI.dll,-28603","FPSSMBD-iWARP-In-TCP",,,"2",,"3","MSFT|FW|FirewallRule|FPSSMBD-iWARP-In-TCP","2",,"",,,"3","","","File and Printer Sharing over SMBDirect","False","False",,"System.String[]","PersistentStore","0","@FirewallAPI.dll,-28602","65536",
"DIAL-Protocol-Server-In-TCP-NoScope","DIAL-Protocol-Server-In-TCP-NoScope","DIAL protocol server (HTTP-In)","@FirewallAPI.dll,-37101","True","Domain","System.String[]","Inbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Inbound rule for DIAL protocol server to allow remote control of Apps using HTTP. [TCP 10247]","@FirewallAPI.dll,-37102","DIAL-Protocol-Server-In-TCP-NoScope",,,"2",,"3","MSFT|FW|FirewallRule|DIAL-Protocol-Server-In-TCP-NoScope","2",,"",,,"3","","","DIAL protocol server","False","False",,"System.String[]","PersistentStore","1","@FirewallAPI.dll,-37101","65536",
"DIAL-Protocol-Server-HTTPSTR-In-TCP-LocalSubnetScope","DIAL-Protocol-Server-HTTPSTR-In-TCP-LocalSubnetScope","DIAL protocol server (HTTP-In)","@FirewallAPI.dll,-37101","True","Private","System.String[]","Inbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Inbound rule for DIAL protocol server to allow remote control of Apps using HTTP. [TCP 10247]","@FirewallAPI.dll,-37102","DIAL-Protocol-Server-HTTPSTR-In-TCP-LocalSubnetScope",,,"2",,"3","MSFT|FW|FirewallRule|DIAL-Protocol-Server-HTTPSTR-In-TCP-LocalSubnetScope","2",,"",,,"3","","","DIAL protocol server","False","False",,"System.String[]","PersistentStore","2","@FirewallAPI.dll,-37101","65536",
"RemoteTask-In-TCP","RemoteTask-In-TCP","Remote Scheduled Tasks Management (RPC)","@FirewallAPI.dll,-33252","False","Any","System.String[]","Inbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Inbound rule for the Task Scheduler service to be remotely managed via RPC/TCP.","@FirewallAPI.dll,-33253","RemoteTask-In-TCP",,,"2",,"3","MSFT|FW|FirewallRule|RemoteTask-In-TCP","2",,"",,,"3","","","Remote Scheduled Tasks Management","False","False",,"System.String[]","PersistentStore","0","@FirewallAPI.dll,-33252","65536",
